"Series ID","Parent ID",Name,Unit,Frequency,Type,"Is Heading",Source,Comment
487,485,"Other games, toys and hobbies (sd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
488,483,"Garden products and pets",Index,Monthly,,False,"Maldives Bureau of Statistics",
489,488,"Pets and products for pets (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
490,489,"Purchase of pets (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
491,483,"Recreational services",Index,Monthly,,False,"Maldives Bureau of Statistics",
492,491,"Recreational and sporting services (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
493,492,"Sporting services - practice (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
494,483,"Cultural services",Index,Monthly,,False,"Maldives Bureau of Statistics",
495,494,"Services provided by cinemas, theatres and concert venues (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
496,495,"Services provided by cinemas, theatres and concert venues (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
497,494,"Photographic services (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
498,497,"Photographic services (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
499,483,"Newspapers, books and stationery",Index,Monthly,,False,"Maldives Bureau of Statistics",
500,499,"Books (sd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
501,500,"Educational and text books (sd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
502,500,"Other books (sd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
503,499,"Stationery and drawing materials (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
504,503,"Stationery and drawing materials (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
505,280,"Education services",Index,Monthly,,False,"Maldives Bureau of Statistics",
506,505,"Early childhood and primary education",Index,Monthly,,False,"Maldives Bureau of Statistics",
507,506,"Early childhood and primary education (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
508,507,"Early childhood education (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
509,507,"Primary education (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
510,505,"Secondary education",Index,Monthly,,False,"Maldives Bureau of Statistics",
511,510,"Secondary education (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
512,511,"Secondary education (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
513,505,"Tertiary education",Index,Monthly,,False,"Maldives Bureau of Statistics",
514,513,"Tertiary education (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
515,514,"Tertiary education (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
516,505,"Education not defined by level",Index,Monthly,,False,"Maldives Bureau of Statistics",
517,516,"Education not defined by level (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
518,517,"Tutoring (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
519,517,"Other education not defined by level (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
520,280,"Restaurants and accommodation services",Index,Monthly,,False,"Maldives Bureau of Statistics",
521,520,"Food and beverage serving services",Index,Monthly,,False,"Maldives Bureau of Statistics",
522,521,"Restaurants, cafés and the like (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
523,522,"Restaurants, cafés and the like - with full service (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
524,520,"Accommodation services",Index,Monthly,,False,"Maldives Bureau of Statistics",
525,524,"Accommodation services (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
526,525,"Hotels, motels, inns and similar accommodation services (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
527,280,"Insurance and financial services",Index,Monthly,,False,"Maldives Bureau of Statistics",
528,527,Insurance,Index,Monthly,,False,"Maldives Bureau of Statistics",
529,528,"Insurance connected with health (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
530,529,"Insurance connected with health (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
531,528,"Insurance connected with transport (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
532,531,"Personal transport insurance (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
533,280,"Personal care, social protection and miscellaneous goods and services",Index,Monthly,,False,"Maldives Bureau of Statistics",
534,533,"Personal care",Index,Monthly,,False,"Maldives Bureau of Statistics",
535,534,"Electric appliances for personal care (sd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
536,535,"Electric appliances for personal care (sd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
537,534,"Other appliances, articles and products for personal care (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
538,537,"Other appliances, articles and products for personal care (nd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
539,534,"Hairdressing salons and personal grooming establishments (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
540,539,"Hairdressing (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
541,539,"Personal grooming treatments (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
542,533,"Other personal effects",Index,Monthly,,False,"Maldives Bureau of Statistics",
543,542,"Jewellery and watches (d)",Index,Monthly,,False,"Maldives Bureau of Statistics",
544,543,"Jewellery and watches (d)",Index,Monthly,,False,"Maldives Bureau of Statistics",
545,542,"Other personal effects n.e.c. (sd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
546,545,"Travel goods and articles for babies and other personal effects n.e.c. (sd)",Index,Monthly,,False,"Maldives Bureau of Statistics",
547,533,"Other services",Index,Monthly,,False,"Maldives Bureau of Statistics",
548,547,"Other services (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
549,548,"Other services n.e.c. (s)",Index,Monthly,,False,"Maldives Bureau of Statistics",
550,279,"Total excluding fish",Index,Monthly,,False,"Maldives Bureau of Statistics",
551,279,"Food and non-alcoholic beverages excluding fish",Index,Monthly,,False,"Maldives Bureau of Statistics",
552,279,"Total excluding food and non-alcoholic beverages",Index,Monthly,,False,"Maldives Bureau of Statistics",
553,279,"Total excluding alcoholic beverages, tobacco and narcotics",Index,Monthly,,False,"Maldives Bureau of Statistics",
554,279,"Total excluding clothing and footwear",Index,Monthly,,False,"Maldives Bureau of Statistics",
555,279,"Total excluding housing and utilities",Index,Monthly,,False,"Maldives Bureau of Statistics",
556,279,"Total excluding furnishing, household equipment etc",Index,Monthly,,False,"Maldives Bureau of Statistics",
557,279,"Total excluding health",Index,Monthly,,False,"Maldives Bureau of Statistics",
558,279,"Total excluding transport",Index,Monthly,,False,"Maldives Bureau of Statistics",
559,279,"Total excluding information and communication",Index,Monthly,,False,"Maldives Bureau of Statistics",
560,279,"Total excluding recreation, sports and culture",Index,Monthly,,False,"Maldives Bureau of Statistics",
561,279,"Total excluding education",Index,Monthly,,False,"Maldives Bureau of Statistics",
562,279,"Total excluding restaurants and accomodation",Index,Monthly,,False,"Maldives Bureau of Statistics",
563,279,"Total excluding insurance and financial services",Index,Monthly,,False,"Maldives Bureau of Statistics",
564,279,"Total excluding personal care and misc. services",Index,Monthly,,False,"Maldives Bureau of Statistics",
565,278,Inflation,,,,True,"Maldives Bureau of Statistics",
566,565,"Inflation rate",Percent,Monthly,,False,"Maldives Bureau of Statistics",
567,566,"Food and non-alcoholic beverages",Percent,Monthly,,False,"Maldives Bureau of Statistics",
568,567,Food,Percent,Monthly,,False,"Maldives Bureau of Statistics",
569,568,"Bread and cereals (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
570,569,"Cereals (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
571,569,"Flour of cereals (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
572,569,"Bread and bakery products (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
573,569,"Breakfast cereals (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
574,569,"Macaroni, noodles, couscous and similar pasta products (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
575,569,"Other cereal and grain mill products (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
576,568,"Meat (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
577,576,"Meat, fresh, chilled or frozen (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
578,576,"Meat, offal, blood and other parts of slaughtered animals' preparations (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
579,568,"Fish (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
580,579,"Fish, live, fresh, chilled or frozen (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
581,579,"Fish, dried, salted, in brine or smoked (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
582,579,"Fish preparations (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
583,568,"Milk, other dairy products and eggs (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
584,583,"Raw and whole milk (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
585,583,"Skimmed milk (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
586,583,"Other milk and cream (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
587,583,"Cheese (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
588,583,"Yoghurt and similar products (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
589,583,"Milk-based dessert and beverages (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
590,583,"Eggs (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
591,568,"Oils and fats (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
592,591,"Vegetable oils (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
593,591,"Butter and other fats and oils derived from milk (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
594,568,"Fruit (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
595,594,"Dates, figs and tropical fruits, fresh (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
596,594,"Citrus fruits, fresh (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
597,594,"Stone fruits and pome fruits, fresh (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
598,594,"Other fruits, fresh (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
599,594,"Fruit, dried and dehydrated (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
600,594,"Fruit and nuts ground and other preparations (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
601,568,Vegetables(nd),Percent,Monthly,,False,"Maldives Bureau of Statistics",
602,601,"Leafy or stem vegetables, fresh or chilled (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
603,601,"Fruit-bearing vegetables, fresh or chilled (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
604,601,"Green leguminous vegetables, fresh or chilled (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
605,601,"Other vegetables, fresh or chilled (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
606,601,"Tubers, plantains and cooking bananas (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
607,601,"Pulses (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
608,601,"Vegetables, tubers, plantains, cooking bananas and pulses ground and other preparations (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
609,568,"Sugar, jam, honey, chocolate and confectionery(nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
610,609,"Cane and beet sugar (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
611,609,"Jams, fruit jellies, marmalades, fruit purée and pastes, honey (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
612,609,"Nut purée, nut butter and nut pastes (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
613,609,"Chocolate, cocoa, and cocoa-based food products (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
614,609,"Ice, ice cream and sorbet (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
615,568,"Food products n.e.c (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
616,615,"Ready-made food (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
617,615,"Baby food (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
618,615,"Salt, condiments and sauces (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
619,615,"Spices, culinary herbs and seeds (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
620,615,"Other food products n.e.c. (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
621,567,"Non-alcoholic beverages",Percent,Monthly,,False,"Maldives Bureau of Statistics",
622,621,"Fruit and vegetable juices (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
623,622,"Fruit and vegetable juices (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
624,621,"Coffee and coffee substitutes (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
625,624,"Coffee and coffee substitutes (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
626,621,"Tea, maté and other plant products for infusion (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
627,626,"Tea, maté and other plant products for infusion (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
628,621,"Water (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
629,628,"Water (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
630,621,"Soft drinks (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
631,630,"Soft drinks (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
632,621,"Other non-alcoholic beverages (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
633,632,"Other non-alcoholic beverages (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
634,566,"Alcoholic beverages, tobacco and narcotics",Percent,Monthly,,False,"Maldives Bureau of Statistics",
635,634,Tobacco,Percent,Monthly,,False,"Maldives Bureau of Statistics",
636,635,"Tobacco (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
637,636,"Cigarettes (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
638,636,"Other tobacco products (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
639,634,Narcotics,Percent,Monthly,,False,"Maldives Bureau of Statistics",
640,639,"Narcotics (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
641,640,"Narcotics (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
642,566,"Clothing and footwear",Percent,Monthly,,False,"Maldives Bureau of Statistics",
643,642,Clothing,Percent,Monthly,,False,"Maldives Bureau of Statistics",
644,643,"Clothing materials (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
645,644,"Clothing materials (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
646,643,"Garments (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
647,646,"Garments for men or boys (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
648,646,"Garments for women or girls (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
649,646,"Garments for infants (0 to under 2 years) (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
650,646,"School uniforms (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
651,643,"Other articles of clothing and clothing accessories (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
652,651,"Other articles of clothing (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
653,643,"Cleaning, repair, tailoring and hire of clothing (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
654,653,"Repair, tailoring and hire of clothing (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
655,642,Footwear,Percent,Monthly,,False,"Maldives Bureau of Statistics",
656,655,"Shoes and other footwear (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
657,656,"Footwear for men (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
658,656,"Footwear for women (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
659,656,"Footwear for infants and children (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
660,566,"Housing, water, electricity, gas and other fuels",Percent,Monthly,,False,"Maldives Bureau of Statistics",
661,660,"Actual rentals for housing",Percent,Monthly,,False,"Maldives Bureau of Statistics",
662,661,"Actual rentals paid by tenants for main residence (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
663,662,"Actual rentals paid by tenants for main residence (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
664,660,"Maintenance, repair and security of the dwelling",Percent,Monthly,,False,"Maldives Bureau of Statistics",
665,664,"Security equipment and materials for the maintenance and repair of the dwelling (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
666,665,"Materials for the maintenance and repair of the dwelling (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
667,664,"Services for the maintenance, repair and security of the dwelling (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
668,667,"Services for the maintenance, repair and security of the dwelling (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
669,660,"Water supply and miscellaneous services relating to the dwelling",Percent,Monthly,,False,"Maldives Bureau of Statistics",
670,669,"Water supply (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
671,670,"Water supply through network systems (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
672,669,"Refuse collection (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
673,672,"Refuse collection (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
674,660,"Electricity, gas and other fuels",Percent,Monthly,,False,"Maldives Bureau of Statistics",
675,674,"Electricity (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
676,675,"Electricity (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
677,674,"Gas (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
678,677,"Liquefied hydrocarbons (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
679,566,"Furnishing household equipments. carpets, and other floor coverings",Percent,Monthly,,False,"Maldives Bureau of Statistics",
680,679,"Furniture, furnishings, and loose carpets",Percent,Monthly,,False,"Maldives Bureau of Statistics",
681,680,"Furniture, furnishings and loose carpets (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
682,681,"Household furniture (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
683,679,"Household textiles",Percent,Monthly,,False,"Maldives Bureau of Statistics",
684,683,"Household textiles (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
685,684,"Furnishing fabrics and curtains (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
686,684,"Bed linen and bedding (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
687,684,"Table linen and bathroom linen (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
688,679,"Household appliances",Percent,Monthly,,False,"Maldives Bureau of Statistics",
689,688,"Major household appliances, whether electric or not (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
690,689,"Major kitchen appliances (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
691,689,"Major laundry appliances (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
692,689,"Heaters, air conditioners (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
693,688,"Small household appliances (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
694,693,"Small appliances for cooking and processing of food (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
695,693,"Other small household appliances (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
696,688,"Repair, installation and hire of household appliances (s)s",Percent,Monthly,,False,"Maldives Bureau of Statistics",
697,696,"Repair, installation and hire of household appliances (s)s",Percent,Monthly,,False,"Maldives Bureau of Statistics",
698,679,"Glassware, tableware and household utensils",Percent,Monthly,,False,"Maldives Bureau of Statistics",
699,698,"Glassware, tableware and household utensils (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
700,699,"Glassware, crystal-ware, ceramic ware and chinaware (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
701,699,"Cutlery, flatware and silverware (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
702,699,"Kitchen utensils and articles (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
703,679,"Tools and equipment for house and garden",Percent,Monthly,,False,"Maldives Bureau of Statistics",
704,703,"Motorized tools and equipment (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
705,704,"Motorized tools and equipment (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
706,703,"Non-motorized tools and miscellaneous accessories (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
707,706,"Miscellaneous accessories (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
708,679,"Goods and services for routine household maintenance",Percent,Monthly,,False,"Maldives Bureau of Statistics",
709,708,"Non-durable household goods (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
710,709,"Household cleaning and maintenance products (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
711,709,"Other non-durable household goods (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
712,708,"Domestic services and household services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
713,712,"Domestic services by paid staff (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
714,566,Health,Percent,Monthly,,False,"Maldives Bureau of Statistics",
715,714,"Medicines and health products",Percent,Monthly,,False,"Maldives Bureau of Statistics",
716,715,"Medicines (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
717,716,"Medicines, vaccines and other pharmaceutical preparations (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
718,715,"Assistive products (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
719,718,"Assistive products for vision (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
720,714,"Outpatient care services",Percent,Monthly,,False,"Maldives Bureau of Statistics",
721,720,"Other outpatient care services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
722,721,"Outpatient curative and rehabilitative services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
723,714,"Inpatient care services",Percent,Monthly,,False,"Maldives Bureau of Statistics",
724,723,"Inpatient curative and rehabilitative services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
725,724,"Inpatient curative and rehabilitative services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
726,714,"Other health services",Percent,Monthly,,False,"Maldives Bureau of Statistics",
727,726,"Diagnostic imaging services and medical laboratory services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
728,727,"Diagnostic imaging services and medical laboratory services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
729,566,Transport,Percent,Monthly,,False,"Maldives Bureau of Statistics",
730,729,"Purchase of vehicles",Percent,Monthly,,False,"Maldives Bureau of Statistics",
731,730,"Motorcycles (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
732,731,"Motorcycles (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
733,730,"Bicycles (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
734,733,"Bicycles (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
735,729,"Operation of personal transport equipment",Percent,Monthly,,False,"Maldives Bureau of Statistics",
736,735,"Fuels and lubricants for personal transport equipment (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
737,736,"Petrol (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
738,736,"Lubricants (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
739,735,"Maintenance and repair of personal transport equipment (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
740,739,"Maintenance and repair of personal transport equipment (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
741,729,"Passenger transport services",Percent,Monthly,,False,"Maldives Bureau of Statistics",
742,741,"Passenger transport by road (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
743,742,"Passenger transport by bus and coach (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
744,742,"Passenger transport by taxi and hired car with driver (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
745,741,"Passenger transport by air (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
746,745,"Passenger transport by air, domestic (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
747,745,"Passenger transport by air, international (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
748,741,"Passenger transport by sea and inland waterway (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
749,748,"Passenger transport by sea and inland waterway (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
750,566,"Information and communication",Percent,Monthly,,False,"Maldives Bureau of Statistics",
751,750,"Information and communication equipment",Percent,Monthly,,False,"Maldives Bureau of Statistics",
752,751,"Mobile telephone equipment (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
753,752,"Mobile telephone equipment (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
754,751,"Information processing equipment (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
755,754,"Computers, laptops and tablets (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
756,751,"Equipment for the reception, recording and reproduction of sound and vision (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
757,756,"Equipment for the reception, recording and reproduction of sound and vision (d)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
758,751,"Unrecorded recording media (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
759,758,"Unrecorded recording media (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
760,750,"Information and communication services",Percent,Monthly,,False,"Maldives Bureau of Statistics",
761,760,"Fixed communication services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
762,761,"Fixed communication services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
763,760,"Mobile communication services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
764,763,"Mobile communication services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
765,760,"Internet access provision services and net storage services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
766,765,"Internet access provision services and net storage services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
767,760,"Other information and communication services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
768,767,"Subscription to audio-visual content, streaming services and rentals of audio-visual content (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
769,566,"Recreation, sport and culture",Percent,Monthly,,False,"Maldives Bureau of Statistics",
770,769,"Other recreational goods",Percent,Monthly,,False,"Maldives Bureau of Statistics",
771,770,"Games, toys and hobbies (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
772,771,"Video game computers, game consoles, game apps and software (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
773,771,"Other games, toys and hobbies (sd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
774,769,"Garden products and pets",Percent,Monthly,,False,"Maldives Bureau of Statistics",
775,774,"Pets and products for pets (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
776,775,"Purchase of pets (nd)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
777,769,"Recreational services",Percent,Monthly,,False,"Maldives Bureau of Statistics",
778,777,"Recreational and sporting services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
779,778,"Sporting services - practice (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
780,769,"Cultural services",Percent,Monthly,,False,"Maldives Bureau of Statistics",
781,780,"Services provided by cinemas, theatres and concert venues (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
782,781,"Services provided by cinemas, theatres and concert venues (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
783,780,"Photographic services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
784,783,"Photographic services (s)",Percent,Monthly,,False,"Maldives Bureau of Statistics",
785,769,"Newspapers, books and stationery",Percent,Monthly,,False,"Maldives Bureau of Statistics",
